latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.75,77.5,217.0,0,GMT,GMT

current_weather_time,temperature (°C),windspeed (km/h),winddirection (°),weathercode (wmo code),is_day
2023-05-01T19:00,20.5,5.0,90.0,80,0

time,temperature_2m (°C)
2023-05-01T00:00,20.7
2023-05-01T01:00,20.5
2023-05-01T02:00,20.8
2023-05-01T03:00,21.3
2023-05-01T04:00,22.1
2023-05-01T05:00,23.2
2023-05-01T06:00,23.5
2023-05-01T07:00,24.2
2023-05-01T08:00,24.1
2023-05-01T09:00,23.5
2023-05-01T10:00,23.3
2023-05-01T11:00,22.8
2023-05-01T12:00,22.0
2023-05-01T13:00,21.6
2023-05-01T14:00,21.0
2023-05-01T15:00,20.8
2023-05-01T16:00,20.6
2023-05-01T17:00,20.5
2023-05-01T18:00,20.5
2023-05-01T19:00,20.5
2023-05-01T20:00,20.5
2023-05-01T21:00,20.4
2023-05-01T22:00,20.3
2023-05-01T23:00,20.2
2023-05-02T00:00,20.1
2023-05-02T01:00,20.0
2023-05-02T02:00,20.4
2023-05-02T03:00,21.0
2023-05-02T04:00,21.8
2023-05-02T05:00,22.9
2023-05-02T06:00,23.8
2023-05-02T07:00,23.9
2023-05-02T08:00,24.2
2023-05-02T09:00,23.6
2023-05-02T10:00,23.0
2023-05-02T11:00,23.1
2023-05-02T12:00,22.5
2023-05-02T13:00,22.0
2023-05-02T14:00,21.5
2023-05-02T15:00,21.2
2023-05-02T16:00,21.0
2023-05-02T17:00,20.8
2023-05-02T18:00,20.6
2023-05-02T19:00,20.5
2023-05-02T20:00,20.4
2023-05-02T21:00,20.3
2023-05-02T22:00,20.2
2023-05-02T23:00,20.2
2023-05-03T00:00,20.2
2023-05-03T01:00,20.3
2023-05-03T02:00,21.0
2023-05-03T03:00,22.3
2023-05-03T04:00,23.6
2023-05-03T05:00,24.4
2023-05-03T06:00,25.2
2023-05-03T07:00,25.3
2023-05-03T08:00,25.6
2023-05-03T09:00,26.1
2023-05-03T10:00,25.9
2023-05-03T11:00,25.4
2023-05-03T12:00,25.1
2023-05-03T13:00,24.3
2023-05-03T14:00,23.4
2023-05-03T15:00,22.8
2023-05-03T16:00,22.3
2023-05-03T17:00,22.0
2023-05-03T18:00,21.7
2023-05-03T19:00,21.4
2023-05-03T20:00,21.1
2023-05-03T21:00,20.9
2023-05-03T22:00,20.6
2023-05-03T23:00,20.4
2023-05-04T00:00,20.2
2023-05-04T01:00,20.3
2023-05-04T02:00,21.5
2023-05-04T03:00,23.2
2023-05-04T04:00,24.7
2023-05-04T05:00,25.8
2023-05-04T06:00,26.8
2023-05-04T07:00,27.7
2023-05-04T08:00,28.3
2023-05-04T09:00,28.6
2023-05-04T10:00,28.4
2023-05-04T11:00,28.1
2023-05-04T12:00,27.5
2023-05-04T13:00,26.2
2023-05-04T14:00,25.2
2023-05-04T15:00,24.4
2023-05-04T16:00,23.9
2023-05-04T17:00,23.5
2023-05-04T18:00,22.8
2023-05-04T19:00,22.7
2023-05-04T20:00,22.6
2023-05-04T21:00,22.5
2023-05-04T22:00,22.1
2023-05-04T23:00,21.6
2023-05-05T00:00,21.5
2023-05-05T01:00,22.1
2023-05-05T02:00,23.1
2023-05-05T03:00,24.6
2023-05-05T04:00,25.9
2023-05-05T05:00,27.2
2023-05-05T06:00,28.7
2023-05-05T07:00,29.5
2023-05-05T08:00,30.0
2023-05-05T09:00,30.4
2023-05-05T10:00,30.4
2023-05-05T11:00,30.2
2023-05-05T12:00,29.6
2023-05-05T13:00,28.7
2023-05-05T14:00,27.6
2023-05-05T15:00,26.3
2023-05-05T16:00,25.7
2023-05-05T17:00,25.4
2023-05-05T18:00,25.0
2023-05-05T19:00,24.7
2023-05-05T20:00,24.5
2023-05-05T21:00,24.2
2023-05-05T22:00,23.8
2023-05-05T23:00,23.3
2023-05-06T00:00,23.1
2023-05-06T01:00,23.5
2023-05-06T02:00,24.3
2023-05-06T03:00,25.5
2023-05-06T04:00,26.5
2023-05-06T05:00,27.7
2023-05-06T06:00,28.9
2023-05-06T07:00,29.4
2023-05-06T08:00,29.8
2023-05-06T09:00,29.7
2023-05-06T10:00,29.1
2023-05-06T11:00,28.0
2023-05-06T12:00,26.8
2023-05-06T13:00,26.3
2023-05-06T14:00,25.9
2023-05-06T15:00,25.4
2023-05-06T16:00,24.9
2023-05-06T17:00,24.3
2023-05-06T18:00,23.5
2023-05-06T19:00,23.1
2023-05-06T20:00,22.8
2023-05-06T21:00,22.4
2023-05-06T22:00,22.0
2023-05-06T23:00,21.7
2023-05-07T00:00,21.8
2023-05-07T01:00,22.4
2023-05-07T02:00,23.4
2023-05-07T03:00,25.0
2023-05-07T04:00,26.5
2023-05-07T05:00,28.2
2023-05-07T06:00,30.3
2023-05-07T07:00,31.7
2023-05-07T08:00,33.0
2023-05-07T09:00,33.2
2023-05-07T10:00,31.0
2023-05-07T11:00,27.6
2023-05-07T12:00,23.9
2023-05-07T13:00,23.0
2023-05-07T14:00,22.8
2023-05-07T15:00,22.9
2023-05-07T16:00,22.8
2023-05-07T17:00,22.8
2023-05-07T18:00,22.7
2023-05-07T19:00,22.5
2023-05-07T20:00,22.3
2023-05-07T21:00,21.9
2023-05-07T22:00,21.4
2023-05-07T23:00,20.9
